   PKT No.	     X	     Y	     Z	Angle(Degree)
0, -0.00, 0.00, -0.00, 0.00
1, -0.09, -0.00, 0.06, 0.07
2, -0.15, 0.00, 0.09, 0.04
3, -0.24, 0.00, 0.12, 0.08
4, -0.36, -0.01, 0.20, 0.01
5, -0.49, -0.01, 0.23, 0.09
6, -0.56, -0.02, 0.28, 0.07
7, -0.66, -0.00, 0.34, 0.15
8, -0.78, 0.00, 0.39, 0.11
9, -0.85, 0.01, 0.39, 0.11
